bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Cedi Osman,4.5,5+,1.06,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Nadir Hifi,2.5,3+,2.05,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Nadir Hifi,1.5,2+,1.35,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Nadir Hifi,3.5,4+,3.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Jared Rhoden,1.5,2+,1.68,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Jared Rhoden,2.5,3+,3.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Jared Rhoden,0.5,1+,1.14,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Justin Robinson,1.5,2+,1.61,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Justin Robinson,2.5,3+,2.8,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Justin Robinson,0.5,1+,1.12,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Cedi Osman,1.5,2+,1.71,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Cedi Osman,2.5,3+,3.2,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,3P Made,3P_M,3P Made,Cedi Osman,0.5,1+,1.15,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Nadir Hifi,2.5,3+,1.95,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Nadir Hifi,4.5,5+,6.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Jared Rhoden,2.5,3+,1.82,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Jared Rhoden,4.5,5+,5.35,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Rebounds,TR,Rebounds,Richaun Holmes,6.5,7+,2.1,,True
